Observed	Model	X_prim	X_rec	X_pred	X_rec/X_prim	X_pred/X_prim
1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0
2.2802818398174773	0.8875635725895611	0.31025380323449325	0.7074661132499198	0.27536997400830554	2.280282	0.887564
6.613898145191566	1.7859174057106857	0.09729987162797607	0.6435314404876484	0.17376953431381778	6.613898	1.785917
0.42835888526039717	1.1181572382925957	0.6170308223337212	0.264310635226179	0.689937480242083	0.428359	1.118157
0.9569843869001013	2.138024067830666	0.2381516837411161	0.2279074430542188	0.5091740316329033	0.956984	2.138024
0.7489274738567501	2.138024067830666	0.10084882111524074	0.07552845283926853	0.21561720675673418	0.748927	2.138024
1.2164913632373013	2.138024067830666	0.04960329130211789	0.060341975457170356	0.10605303064754358	1.216491	2.138024
1.2201252520376247	2.1380240678306657	0.037904876229897334	0.046248696663458454	0.081041537667663	1.220125	2.138024
0.09177969295891013	0.47710055845420424	0.14142702717893696	0.012980129130574272	0.06747491364758874	0.09178	0.477101
1.0	0.9999999999999999	1.0	1.0	0.9999999999999999	1.0	1.0
0.9308502025944492	1.0868628631713961	0.7756989450282095	0.7220595201318093	0.8430783763523911	0.93085	1.086863
1.5972416979880433	1.8293300738422227	0.25521613288869316	0.40764184944907833	0.4668745472229996	1.597242	1.82933
1.5126024329696428	1.7778899877699603	0.21556030957025105	0.3260570487076511	0.3832425161455425	1.512602	1.77789
1.6818344655282162	1.77788998776996	0.18138174038885044	0.30505406240345995	0.3224767802016274	1.681834	1.77789
1.8150507679656303	1.77788998776996	0.1313188196061159	0.23835032437442075	0.23347041458348303	1.815051	1.77789
1.7263945945919479	1.7778899877699603	0.12175590931017849	0.21019874369271957	0.21646861211439364	1.726395	1.77789
1.4042907654887846	1.7778899877699603	0.11126072275005768	0.15624240551951393	0.19780932500937698	1.404291	1.77789
0.5392200482728434	0.7284540672005267	0.2690377314960465	0.14507053856451446	0.19598162973869832	0.53922	0.728454
0.5793682330472325	0.7284540672005266	0.21397575452505296	0.1239707548141283	0.15587150866607632	0.579368	0.728454
0.5247516482449173	0.7284540672005267	0.1868044631808553	0.09802594995366079	0.1360784709753051	0.524752	0.728454
0.6411188247567569	0.7130133851854209	0.19066465320161916	0.1222386983832767	0.13594644981449078	0.641119	0.713013
0.7284094952499827	0.7090672174850836	0.1518551144109566	0.11061270723921325	0.107675483436256	0.728409	0.709067
0.7642422013359814	0.6970658343279046	0.09379286478323791	0.07168046545154978	0.06537980154413207	0.764242	0.697066
1.2391403148021134	0.6996026998952102	0.2243010549717905	0.27794047986819065	0.1569216236476086	1.23914	0.699603
0.5497365827820417	0.6987792552127763	0.1104081461440047	0.0606953969725054	0.07715092213193096	0.549737	0.698779
1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.9614325901574099	1.077916708943226	0.7756989450282095	0.7457822459008417	0.8361388539555399	0.961433	1.077917
1.589462662338891	1.6342432157457516	0.25521613288869316	0.40565651405309844	0.417085233722213	1.589463	1.634243
1.492896656707439	1.482398758708067	0.21556030957025105	0.3218092654762484	0.3195463353336668	1.492897	1.482399
1.6606305295690966	1.482398758708067	0.18138174038885044	0.3012080555961011	0.26888006680474075	1.660631	1.482399
1.7832713360009929	1.4823987587080671	0.1313188196061159	0.2341770868810717	0.1946668551791148	1.783271	1.482399
1.7663695202454044	1.4823987587080671	0.12175590931017849	0.21506592711526296	0.1804908088267806	1.76637	1.482399
1.758770691742825	1.482398758708067	0.11126072275005768	0.1956820983149256	0.1649327572976479	1.758771	1.482399
0.7224390132973431	0.8232891702665738	0.2690377314960465	0.19436335328175933	0.22149585073378136	0.722439	0.823289
0.731646438295447	0.8232891702665739	0.21397575452505296	0.15655459867983587	0.17616392140009496	0.731646	0.823289
0.7454467795377041	0.8232891702665738	0.1868044631808553	0.1392527854814382	0.1537940914942591	0.745447	0.823289
0.5612521115001166	0.7737034596890028	0.19066465320161916	0.10701093919784621	0.14751790182249663	0.561252	0.773703
0.605513911920485	0.7610308634080838	0.1518551144109566	0.09195038437211113	0.11556642883310364	0.605514	0.761031
0.672402141474834	0.7224900067813994	0.09379286478323791	0.06306652313530871	0.06776440751328844	0.672402	0.72249
1.133377433873997	0.7305411294880817	0.2243010549717905	0.25421775409915826	0.16386114604446014	1.133377	0.730541
0.4160499661908704	0.7281267132881255	0.1104081461440047	0.04593530547040983	0.08039112057206917	0.41605	0.728127
1.0	1.0000000000000002	1.0	1.0	1.0000000000000002	1.0	1.0
0.9697166164164064	1.0723577481593287	0.7756989450282095	0.7522081563305313	0.8318267739400176	0.969717	1.072358
1.478429535831322	1.67684195635076	0.25521613288869316	0.37731906888329564	0.42795711956535176	1.47843	1.676842
1.4282863954287428	1.627071442785477	0.21556030957025105	0.3078818575535978	0.35073202389975244	1.428286	1.627071
1.580864091132505	1.627071442785477	0.18138174038885044	0.286739880167852	0.29512105002942773	1.580864	1.627071
1.6892260904174223	1.6270714427854769	0.1313188196061159	0.22182717624146994	0.21366510128140878	1.689226	1.627071
1.6287767756062144	1.6270714427854769	0.12175590931017849	0.19831319737723518	0.19810556302896978	1.628777	1.627071
1.4752662495257378	1.6270714427854769	0.11126072275005768	0.1641391891710005	0.18102914469029127	1.475266	1.627071
0.730986089592862	0.7823374547926157	0.2690377314960465	0.1966628392992294	0.21047829410179617	0.730986	0.782337
0.6800739656817495	0.7823374547926157	0.21397575452505296	0.14551933993959731	0.16740124718245947	0.680074	0.782337
